운행요일,노선ID,출발구역,승차정류장,목적구역,출발시각,도착시각
월,A,원룸촌,원룸촌,본관,08:20,08:25
월,B,본관,본관,엔터관,08:25,08:30
월,B,예인관,엔터관,본관,08:30,08:35
월,B,본관,본관,엔터관,08:35,08:40
월,A,원룸촌,원룸촌,본관,08:40,08:45
월,B,예인관,엔터관,본관,08:40,08:45
월,A,본관,본관,원룸촌,08:45,08:50
월,B,본관,본관,엔터관,08:45,08:50
월,A,원룸촌,원룸촌,본관,08:50,08:55
월,B,예인관,엔터관,본관,08:50,08:55
월,A,원룸촌,원룸촌,본관,08:55,09:00
월,B,본관,본관,엔터관,08:55,09:00
월,B,예인관,엔터관,본관,09:00,09:05
월,A,원룸촌,원룸촌,본관,09:30,09:35
월,A,본관,본관,원룸촌,09:35,09:40
월,B,본관,본관,엔터관,09:35,09:40
월,A,원룸촌,원룸촌,본관,09:40,09:45
월,B,예인관,엔터관,본관,09:40,09:45
월,A,본관,본관,원룸촌,09:45,09:50
월,B,본관,본관,엔터관,09:45,09:50
월,A,원룸촌,원룸촌,본관,09:50,09:55
월,B,예인관,엔터관,본관,09:50,09:55
월,A,원룸촌,원룸촌,본관,09:55,10:00
월,B,본관,본관,엔터관,09:55,10:00
월,B,예인관,엔터관,본관,10:00,10:05
월,A,원룸촌,원룸촌,본관,10:30,10:35
월,A,본관,본관,원룸촌,10:35,10:40
월,B,본관,본관,엔터관,10:35,10:40
월,A,원룸촌,원룸촌,본관,10:40,10:45
월,B,예인관,엔터관,본관,10:40,10:45
월,A,본관,본관,원룸촌,10:45,10:50
월,B,본관,본관,엔터관,10:45,10:50
월,A,원룸촌,원룸촌,본관,10:50,10:55
월,B,예인관,엔터관,본관,10:50,10:55
월,B,본관,본관,엔터관,10:55,11:00
월,B,예인관,엔터관,본관,11:00,11:05
월,A,원룸촌,원룸촌,본관,11:30,11:35
월,A,본관,본관,원룸촌,11:35,11:40
월,B,본관,본관,엔터관,11:35,11:40
월,A,원룸촌,원룸촌,본관,11:40,11:45
월,B,예인관,엔터관,본관,11:40,11:45
월,A,본관,본관,원룸촌,11:45,11:50
월,B,본관,본관,엔터관,11:45,11:50
월,A,원룸촌,원룸촌,본관,11:50,11:55
월,B,예인관,엔터관,본관,11:50,11:55
월,B,본관,본관,엔터관,11:55,12:00
월,B,예인관,엔터관,본관,12:00,12:05
월,A,원룸촌,원룸촌,본관,12:30,12:35
월,A,본관,본관,원룸촌,12:35,12:40
월,B,본관,본관,엔터관,12:35,12:40
월,A,원룸촌,원룸촌,본관,12:40,12:45
월,B,예인관,엔터관,본관,12:40,12:45
월,A,본관,본관,원룸촌,12:45,12:50
월,B,본관,본관,엔터관,12:45,12:50
월,A,원룸촌,원룸촌,본관,12:50,12:55
월,B,예인관,엔터관,본관,12:50,12:55
월,B,본관,본관,엔터관,12:55,13:00
월,B,예인관,엔터관,본관,13:00,13:05
월,A,원룸촌,원룸촌,본관,13:40,13:45
